po_number,project,issue_date,initial_delivery_date,final_delivery_date,currency,exchange_rate,local_import,te,forma_pago,pagar_a,guide_number,guide_date,observations,po_status,total_amount
2405023  - 10000052,,2024-05-24,2024-05-24,2024-05-24,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000121,,2024-08-08,2024-08-08,2024-08-08,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000146,,2024-08-21,2024-08-21,2024-08-21,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000212,,2024-10-15,2024-10-15,2024-10-15,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000221,,2024-10-22,2024-10-22,2024-10-22,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000223,,2024-10-22,2024-10-22,2024-10-22,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000225,,2024-10-22,2024-10-22,2024-10-22,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000229,,2024-10-24,2024-10-24,2024-10-24,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000242,,2024-10-31,2024-10-31,2024-10-31,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000247,,2024-10-31,2024-10-31,2024-10-31,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000250,,2024-11-04,2024-11-04,2024-11-04,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000251,,2024-11-04,2024-11-04,2024-11-04,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000252,,2024-11-04,2024-11-04,2024-11-04,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000253,,2024-11-04,2024-11-04,2024-11-04,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000254,,2024-11-05,2024-11-05,2024-11-05,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000255,,2024-11-05,2024-11-05,2024-11-05,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000256,,2024-11-06,2024-11-06,2024-11-06,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000258,,2024-11-06,2024-11-06,2024-11-06,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000265,,2024-11-08,2024-11-08,2024-11-08,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000269,,2024-11-09,2024-11-09,2024-11-09,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000270,,2024-11-09,2024-11-09,2024-11-09,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000271,,2024-11-09,2024-11-09,2024-11-09,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000273,,2024-11-09,2024-11-09,2024-11-09,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000274,,2024-11-11,2024-11-11,2024-11-11,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000275,,2024-11-11,2024-11-11,2024-11-11,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000279,,2024-11-11,2024-11-11,2024-11-11,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000292,,2024-11-14,2024-11-14,2024-11-14,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000297,,2024-11-18,2024-11-18,2024-11-18,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000298,,2024-11-18,2024-11-18,2024-11-18,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000311,,2024-11-21,2024-11-21,2024-11-21,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000312,,2024-11-21,2024-11-21,2024-11-21,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000318,,2024-11-27,2024-11-27,2024-11-27,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000319,,2024-11-28,2024-11-28,2024-11-28,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000333,,2024-12-04,2024-12-04,2024-12-04,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000347,,2024-12-07,2024-12-07,2024-12-07,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000348,,2024-12-14,2024-12-14,2024-12-14,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000363,,2024-12-17,2024-12-17,2024-12-17,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000364,,2024-12-17,2024-12-17,2024-12-17,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000365,,2024-12-17,2024-12-17,2024-12-17,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000366,,2024-12-17,2024-12-17,2024-12-17,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000370,,2024-12-17,2024-12-17,2024-12-17,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000371,,2024-12-17,2024-12-17,2024-12-17,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000386,,2024-12-26,2024-12-26,2024-12-26,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000387,,2024-12-28,2024-12-28,2024-12-28,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000389,,2025-01-03,2025-01-03,2025-01-03,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000390,,2025-01-03,2025-01-03,2025-01-03,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000391,,2025-01-03,2025-01-03,2025-01-03,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000392,,2025-01-03,2025-01-03,2025-01-03,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000393,,2025-01-06,2025-01-06,2025-01-06,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000394,,2025-01-07,2025-01-07,2025-01-07,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000395,,2025-01-07,2025-01-07,2025-01-07,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000396,,2025-01-07,2025-01-07,2025-01-07,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000397,,2025-01-07,2025-01-07,2025-01-07,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000398,,2025-01-09,2025-01-09,2025-01-09,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000399,,2025-01-09,2025-01-09,2025-01-09,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000400,,2025-01-10,2025-01-10,2025-01-10,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000401,,2025-01-10,2025-01-10,2025-01-10,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000402,,2025-01-14,2025-01-14,2025-01-14,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000403,,2025-01-14,2025-01-14,2025-01-14,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000404,,2025-01-14,2025-01-14,2025-01-14,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000405,,2025-01-14,2025-01-14,2025-01-14,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000406,,2025-01-14,2025-01-14,2025-01-14,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000407,,2025-01-14,2025-01-14,2025-01-14,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000408,,2025-01-15,2025-01-15,2025-01-15,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000409,,2025-01-16,2025-01-16,2025-01-16,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000410,,2025-01-16,2025-01-16,2025-01-16,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000411,,2025-01-16,2025-01-16,2025-01-16,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000412,,2025-01-16,2025-01-16,2025-01-16,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000413,,2025-01-16,2025-01-16,2025-01-16,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000414,,2025-01-16,2025-01-16,2025-01-16,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000415,,2025-01-16,2025-01-16,2025-01-16,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000416,,2025-01-16,2025-01-16,2025-01-16,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000417,,2025-01-16,2025-01-16,2025-01-16,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000418,,2025-01-17,2025-01-17,2025-01-17,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000419,,2025-01-17,2025-01-17,2025-01-17,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000420,,2025-01-17,2025-01-17,2025-01-17,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000421,,2025-01-20,2025-01-20,2025-01-20,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000422,,2025-01-20,2025-01-20,2025-01-20,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000423,,2025-01-20,2025-01-20,2025-01-20,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000424,,2025-01-20,2025-01-20,2025-01-20,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000425,,2025-01-22,2025-01-22,2025-01-22,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000426,,2025-01-22,2025-01-22,2025-01-22,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000427,,2025-01-22,2025-01-22,2025-01-22,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000428,,2025-01-22,2025-01-22,2025-01-22,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000429,,2025-01-24,2025-01-24,2025-01-24,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000430,,2025-01-24,2025-01-24,2025-01-24,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000431,,2025-01-24,2025-01-24,2025-01-24,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000432,,2025-01-24,2025-01-24,2025-01-24,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000433,,2025-01-27,2025-01-27,2025-01-27,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000434,,2025-01-27,2025-01-27,2025-01-27,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000435,,2025-01-27,2025-01-27,2025-01-27,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000436,,2025-01-27,2025-01-27,2025-01-27,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000437,,2025-01-27,2025-01-27,2025-01-27,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
